proposal_id,title,existing_label,esg_agree,flag_agree,score_agree,proposal_agree,orig_esg,new_esg,orig_dims,new_dims,score_details,new_lc_flag
9210,Indep. Audit of Supply Chain Risks,Supply Chain Risks,True,True,True,True,YES,YES,S,S,"S_dir:orig=9,new=9,agree=True; S_spec:orig=8,new=8,agree=True",False
10028,Requesting Director Election Resignation Bylaw,Director Resignation Bylaw Processes,True,True,True,True,YES,YES,ESG,ESG,"E_dir:orig=7,new=7,agree=True; E_spec:orig=5,new=5,agree=True; S_dir:orig=9,new=8,agree=True; S_spec:orig=8,new=8,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=8,new=7,agree=True",False
9293,Independent Board Chair,Chairman Independence,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=9,new=9,agree=True",False
7653,Proxy Access Amendments,Proxy Access,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=8,new=9,agree=True",False
9671,Remove 1-Yr Holding Req. to Call Special Shareholder Meeting,Special Meetings,True,True,True,True,YES,YES,ES,ES,"E_dir:orig=8,new=8,agree=True; E_spec:orig=8,new=9,agree=True; S_dir:orig=8,new=7,agree=True; S_spec:orig=7,new=7,agree=True",False
9978,Shareholder Right to Act by Written Consent,Written Consent,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=8,new=8,agree=True",False
9423,Abortion & Consumer Data Privacy,Consumer Data Privacy,True,True,True,True,YES,YES,S,S,"S_dir:orig=8,new=8,agree=True; S_spec:orig=8,new=8,agree=True",False
8578,Right to Act by Written Consent,Written Consent,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=8,new=8,agree=True",False
10440,AI Principles and Board Oversight,Artificial Intelligence (AI),True,False,True,False,YES,YES,G,SG,,False
10289,Board of Directors Accountability and Transparency Amendment,Directors Disclose Expected Hours of Allocation,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=8,agree=True; G_spec:orig=8,new=8,agree=True",False
9371,Independent Board Chair,Chairman Independence,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=9,new=9,agree=True",False
9445,Simple Majority Vote,Simple Majority Voting,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=9,new=9,agree=True",False
8947,Give Each Share an Equal Vote,Recapitalization (Stock Classes/Voting Rights),True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=8,new=8,agree=True",False
10350,Advisory Vote Exec. Comp.,Say on Pay,True,True,True,True,YES,YES,G,G,"G_dir:orig=5,new=5,agree=True; G_spec:orig=7,new=7,agree=True",False
9242,Set Up Discussion on Majority Support Shareholder Prop btw Board & Proponent,Shareholder Engagement,True,False,True,False,YES,YES,G,SG,,True
9374,Political Contributions Congruency Report,Political Spending,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=8,new=8,agree=True; S_spec:orig=7,new=7,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=8,new=8,agree=True",False
9051,Shareholder Right to Remove Directors without Cause,Shareholder Right to Remove Directors,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=8,new=8,agree=True",False
7754,Integrating Drug Pricing Risk into Exec. Comp. Policies,Performance Metrics Requirements,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=8,new=8,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=8,new=7,agree=True; G_spec:orig=6,new=6,agree=True",False
10058,"Report on Risks Created by the Company's Diversity, Equity, and Inclusion Efforts",Diversity,True,False,True,False,YES,YES,S,SG,"S_dir:orig=2,new=2,agree=True; S_spec:orig=7,new=7,agree=True",False
7576,True Diversity Board Policy,Director Qualifications,True,True,True,True,YES,YES,G,G,"G_dir:orig=4,new=3,agree=True; G_spec:orig=8,new=8,agree=True",False
10026,Report on Reducing Full Value Chain GHG Emissions,Climate Risk,True,True,True,True,YES,YES,E,E,"E_dir:orig=8,new=9,agree=True; E_spec:orig=7,new=7,agree=True",False
10443,Report on Online Safety for Children,Child Safety,True,True,True,True,YES,YES,S,S,"S_dir:orig=9,new=8,agree=True; S_spec:orig=8,new=8,agree=True",False
7736,Prohibit Paying Above-Market Returns on Nonqual Exec Savings Plans,Exec Retirement Benefits,True,False,True,False,YES,YES,G,SG,,False
9334,Audited Report on Asset Retirement Obligations (AROs),Asset Retirement Obligations (AROs),True,True,True,True,YES,YES,E,E,"E_dir:orig=7,new=8,agree=True; E_spec:orig=8,new=8,agree=True",False
10435,Policy for Director Transparency on Political & Charitable Giving,Political & Charitable Spending,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=2,new=3,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=3,new=4,agree=True; G_spec:orig=8,new=8,agree=True",False
10033,Policy on Merchant Category Codes,Merchant Category Codes,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=3,new=2,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=7,new=6,agree=True; G_spec:orig=6,new=7,agree=True",False
10241,Board Matrix,Board and CEO Diversity,True,True,True,True,YES,YES,ESG,ESG,"E_dir:orig=7,new=7,agree=True; E_spec:orig=5,new=6,agree=True; S_dir:orig=9,new=8,agree=True; S_spec:orig=8,new=7,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=8,new=8,agree=True",False
10217,Feasibility of Integrating Climate-Related Measures into Co’s Comp. Plans,Equity Comp Rules,True,True,True,True,YES,YES,EG,EG,"E_dir:orig=8,new=8,agree=True; E_spec:orig=7,new=7,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=7,new=7,agree=True",False
8550,Reduce Special Meetings Ownership Req. to 10%,Special Meetings,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=8,agree=True; G_spec:orig=9,new=9,agree=True",False
9779,Performance Review of Audit and Compliance Committee,Performance Review of Audit Committee,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=8,new=8,agree=True; S_spec:orig=7,new=7,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=7,new=7,agree=True",False
8750,Management Pay Clawback Authorization,Clawback,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=8,agree=True; G_spec:orig=8,new=8,agree=True",False
10394,Disclosure of Voting Results Based on Class of Shares,Vote Counting Standard,True,True,True,True,YES,YES,G,G,"G_dir:orig=9,new=9,agree=True; G_spec:orig=9,new=9,agree=True",False
10423,Corporate Financial Sustainability Report,Sustainability Metrics,True,True,False,False,YES,YES,SG,SG,"S_dir:orig=2,new=2,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=7,new=4,agree=False; G_spec:orig=7,new=7,agree=True",False
10384,Plans to Integrate ESG Metrics Into Executive Compensation,Add ESG Metrics to NEO Incentive Plans,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=8,new=8,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=8,new=8,agree=True; G_spec:orig=7,new=7,agree=True",False
8534,Change in Organizational Form to Public Benefit Corporation,Corporate Purpose,True,True,True,True,YES,YES,SG,SG,"S_dir:orig=9,new=9,agree=True; S_spec:orig=6,new=6,agree=True; G_dir:orig=9,new=8,agree=True; G_spec:orig=8,new=8,agree=True",False
